2195410 total number of matches in the dataset

# Aatrox
                  win%   matches
    Jayce        49.50%    606
    Pantheon     49.48%   2023
    Varus        49.47%   1522
    Nasus        49.45%   1084
    Gangplank    49.43%    528
    Shaco        49.40%   1994
    Camille      49.40%    579
    Twitch       49.38%   1219
    Rammus       49.38%    482
    LeeSin       49.37%   2159
    Kassadin     49.37%     79
    Orianna      49.29%    211
    Singed       49.27%    613
    Ornn         49.23%    713
    Quinn        49.21%    382
    Lux          49.21%   3534
    Yuumi        49.16%   1304
    TahmKench    49.15%   1170
    Xayah        49.14%    934
    Neeko        49.13%    802
    Jinx         49.11%   3523
    Swain        48.96%   1493
    Kindred      48.94%    521
    Hwei         48.94%    615
    Udyr         48.88%    806
    Jhin         48.87%   3714
    Darius       48.87%   1901
    Mel          48.86%   1627
    Tristana     48.82%   1612
    Ezreal       48.76%   3136
    Karma        48.69%   1598
    Seraphine    48.54%   1469
    Aatrox       48.46%   1397
    Zac          48.44%    962
    Rell         48.44%    799
    Akali        48.25%    744
    Sion         48.16%   1007
    Fiora        48.15%    704
    Corki        48.14%    484
    Yone         48.13%   1176
    Sejuani      48.11%    688
    Syndra       47.98%    248
    Lissandra    47.98%    198
    Evelynn      47.98%    965
    Nunu         47.95%    974
    Maokai       47.90%    883
    AurelionSol  47.83%    230
    Garen        47.80%   1502
    Vi           47.78%   1057
    Rakan        47.75%    800
    Caitlyn      47.69%   3814
    Rumble       47.64%    615
    Talon        47.63%    485
    Blitzcrank   47.62%   1241
    Qiyana       47.62%    168
    Renekton     47.61%   1046
    Ahri         47.59%    374
    Sylas        47.53%   1113
    Kaisa        47.42%   3657
    Draven       47.41%    793
    Ambessa      47.19%    695
    Hecarim      47.19%    765
    Bard         47.18%    708
    Nautilus     47.14%   1994
    Yasuo        47.14%    908
    Nidalee      47.13%    923
    Azir         47.01%    134
    Pyke         46.97%   1288
    Lucian       46.96%   1959
    Aurora       46.81%    408
    Irelia       46.79%    763
    Katarina     46.72%    229
    Viego        46.67%   2207
    Tryndamere   46.49%    656
    Naafiri      46.47%    665
    Khazix       46.16%   1133
    TwistedFate  45.67%    289
    Ivern        45.54%    325
    Riven        45.26%    685
    Samira       45.20%   1115
    Zoe          45.16%    279
    Rengar       44.07%    540
    Skarner      43.73%    327
    RekSai       43.66%    213
    KSante       43.52%    602
    Vex          41.86%    172


# Alistar
                  win%   matches
    Bard         56.52%     46
    Rell         54.90%     51
    Taliyah      54.49%   1226
    Swain        53.95%   1064
    Kled         53.87%    607
    Neeko        53.55%    493
    Thresh       53.18%    173
    Nocturne     52.85%   3811
    Malzahar     52.81%   3187
    Nilah        52.75%    853
    Heimerdinger 52.71%   1051
    Sett         52.42%   3747
    Lillia       52.41%   2244
    Belveth      52.12%    706
    Vex          52.10%   1687
    Kayle        52.04%   2014
    Senna        52.01%   2490
    Zilean       51.98%    202
    Anivia       51.81%    886
    Khazix       51.80%   2859
    Briar        51.66%   1837
    Olaf         51.64%    794
    Samira       51.58%   5004
    Volibear     51.52%   3265
    Amumu        51.48%   1661
    Brand        51.31%   1066
    Sivir        51.23%   2571
    Urgot        51.20%   1209
    Yorick       51.20%   2506
    Gangplank    51.17%   1704
    Zyra         51.16%    647
    Fiddlesticks 51.13%   1332
    Annie        51.05%   1146
    Kennen       50.99%   1165
    Quinn        50.98%   1118
    Lux          50.95%   2536
    Smolder      50.89%   4903
    Galio        50.85%   2165
    RekSai       50.84%    419
    KogMaw       50.78%    642
    Cassiopeia   50.74%    952
    Akshan       50.73%    891
    Renekton     50.66%   2657
    Vladimir     50.60%   2338
    Ahri         50.55%   4283
    AurelionSol  50.44%   1249
    Udyr         50.42%   1063
    Skarner      50.38%    530
    Nasus        50.36%   2232
    Nidalee      50.29%   1927
    Ivern        50.22%    462
    Kayn         50.21%   3816
    Hecarim      50.19%   1323
    Jinx         50.11%   6988
    Viktor       50.09%   3484
    Malphite     50.07%   3016
    Aurora       49.92%   1907
    Darius       49.91%   4047
    Warwick      49.89%   3600
    TwistedFate  49.89%   2634
    Xerath       49.87%   1931
    Sejuani      49.83%   1182
    MissFortune  49.81%   6105
    Akali        49.71%   4140
    Lissandra    49.65%   1283
    Singed       49.64%    824
    Trundle      49.61%   2703
    Aphelios     49.60%   1990
    Velkoz       49.57%    700
    Evelynn      49.57%   1158
    Zoe          49.56%   1370
    Jhin         49.56%   7684
    Garen        49.55%   3207
    Xayah        49.51%   2042
    Diana        49.50%   4616
    Fiora        49.47%   1597
    Teemo        49.46%   3067
    Ekko         49.46%   3589
    JarvanIV     49.37%   2558
    Shyvana      49.37%   1029
    Mordekaiser  49.35%   3840
    Aatrox       49.33%   4259
    Alistar      49.31%  90811
    Braum        49.28%     69
    Veigar       49.24%   2705
    Chogath      49.20%   1931
    Hwei         49.17%   2109
    Orianna      49.17%   2282
    Naafiri      49.15%   2230
    Riven        49.12%   1651
    Elise        49.11%   1128
    Ryze         49.10%   1786
    Rengar       49.05%    946
    DrMundo      49.01%   2567
    Poppy        48.97%    925
    Zeri         48.97%   1313
    XinZhao      48.94%   2781
    Ornn         48.94%   1271
    LeeSin       48.93%   7206
    Ambessa      48.92%   1897
    MasterYi     48.90%   3370
    Ashe         48.90%   3861
    Lucian       48.89%   4142
    Yasuo        48.86%   8291
    Graves       48.82%   3871
    Draven       48.81%   1678
    Twitch       48.78%   1519
    Sylas        48.74%   5593
    MonkeyKing   48.71%   2176
    Rumble       48.67%   1243
    Vayne        48.51%   3717
    Fizz         48.49%   1850
    Pantheon     48.46%   3467
    Ziggs        48.45%   1131
    Gragas       48.40%   2060
    Camille      48.38%   1201
    TahmKench    48.35%    697
    Kaisa        48.33%  10302
    Syndra       48.26%   1925
    Corki        48.24%   1420
    Tristana     48.24%   4287
    Leblanc      48.20%   2440
    Qiyana       48.11%    927
    Shen         47.96%   1818
    Mel          47.93%   2708
    Zac          47.93%   1594
    Jayce        47.93%   2798
    Caitlyn      47.91%   6395
    Rakan        47.89%     71
    Gwen         47.88%   2316
    Jax          47.87%   3432
    Pyke         47.79%    136
    Morgana      47.78%    607
    Gnar         47.72%   1314
    Viego        47.64%   5493
    Talon        47.64%   2057
    Sion         47.64%   2032
    Karma        47.58%    433
    Irelia       47.57%   2758
    Ezreal       47.55%   6400
    Yone         47.55%   5847
    Shaco        47.44%   2848
    Varus        47.35%   3062
    Nunu         47.35%   1168
    Illaoi       47.33%   1369
    Vi           47.25%   2599
    Kindred      47.13%   1462
    Kassadin     47.07%    682
    Sona         47.06%     51
    Karthus      47.00%   1066
    KSante       46.94%   1568
    Maokai       46.70%    546
    Azir         46.64%   1413
    Tryndamere   46.52%   1507
    Zed          46.17%   4962
    Yunara       46.12%   1481
    Rammus       46.12%    837
    Katarina     46.05%   2291
    Leona        45.95%    111
    Seraphine    45.80%    286
    Nami         45.60%    125
    Kalista      44.92%   1329
    Milio        44.78%     67
    Nautilus     44.50%    200
    Lulu         42.38%    210
    Taric        41.67%     60
    Soraka       41.56%     77
    Janna        36.17%     47
    Blitzcrank   35.23%    176
    Yuumi        24.18%     91
    Renata       21.05%     19


# Ambessa
                  win%   matches
    Illaoi       53.74%    294
    Nilah        52.21%    747
    KogMaw       52.04%    980
    Amumu        51.64%   1861
    Zoe          51.22%   1556
    Vex          51.09%   1605
    Fiddlesticks 50.93%   1504
    Milio        50.72%   2017
    Briar        50.67%   1411
    Zilean       50.57%   1044
    Ivern        50.46%    432
    Trundle      50.42%   1535
    Mordekaiser  50.31%   1115
    RekSai       50.30%    330
    Chogath      50.25%   1019
    Annie        50.08%   1248
    Warwick      50.08%   2578
    Malzahar     50.05%   2887
    Xerath       50.03%   3798
    Riven        50.00%    342
    Ryze         50.00%   1432
    Aphelios     49.97%   1931
    Zyra         49.93%   2263
    Yorick       49.93%    683
    Sivir        49.85%   2644
    Bard         49.80%   1221
    Hwei         49.78%   2288
    Ziggs        49.70%   1326
    Velkoz       49.61%   1808
    Lulu         49.61%   4354
    Shyvana      49.58%    714
    Elise        49.58%   1654
    Karthus      49.51%    915
    MonkeyKing   49.41%   1692
    Draven       49.39%   1472
    Heimerdinger 49.34%    610
    Hecarim      49.30%   1150
    Galio        49.28%   2867
    Teemo        49.27%   1790
    Graves       49.21%   3097
    Rell         49.18%   1645
    Volibear     49.11%   1975
    Talon        49.08%   1679
    Ornn         49.04%    312
    Cassiopeia   49.04%    779
    Nocturne     48.97%   3253
    Leona        48.94%   2840
    Viktor       48.92%   3432
    Garen        48.92%    881
    Alistar      48.92%   1897
    Lissandra    48.89%   1174
    Senna        48.88%   3441
    MissFortune  48.83%   5832
    AurelionSol  48.83%   1110
    Taric        48.80%    500
    TahmKench    48.79%   1693
    Thresh       48.75%   4767
    Neeko        48.65%   1632
    Nami         48.59%   3254
    Rakan        48.56%   1565
    Swain        48.50%   2641
    TwistedFate  48.50%   2332
    Ahri         48.46%   4402
    Braum        48.42%   2247
    Anivia       48.31%   1006
    Kayn         48.29%   3073
    Seraphine    48.29%   2046
    JarvanIV     48.28%   2235
    Kennen       48.27%    462
    Jinx         48.27%   7148
    Diana        48.26%   4223
    Akali        48.25%   3430
    DrMundo      48.19%    886
    Gragas       48.19%   1106
    Syndra       48.18%   1872
    Xayah        48.14%   2102
    Lux          48.14%   7127
    Viego        48.13%   4556
    Katarina     48.12%   2074
    Janna        48.05%   1103
    Sett         48.01%    806
    Morgana      48.00%   3323
    Sion         47.99%    673
    Brand        47.97%   2337
    Lillia       47.97%   1918
    Jax          47.91%   1077
    Ambessa      47.86%  86577
    Jhin         47.80%   7703
    Veigar       47.70%   2690
    Khazix       47.69%   2298
    Zeri         47.66%   1387
    Rammus       47.66%    789
    Irelia       47.65%   1194
    Taliyah      47.64%   1102
    Nidalee      47.63%   1648
    Jayce        47.54%    631
    Vi           47.54%   2581
    Sona         47.51%   1006
    Zac          47.51%   1564
    Maokai       47.50%   1261
    Nunu         47.50%   1261
    MasterYi     47.48%   2698
    Nautilus     47.48%   3808
    Kassadin     47.47%    691
    Vayne        47.47%   2941
    Evelynn      47.45%   1039
    Soraka       47.45%   1606
    Kled         47.41%    116
    Ekko         47.41%   3301
    Rumble       47.33%    374
    Karma        47.31%   3304
