2195410 total number of matches in the dataset

# Aatrox
                  win%   matches
    Karthus      51.07%   1212
    Qiyana       51.04%   1250
    Yone         51.03%   5777
    Aphelios     50.91%   2978
    Rumble       50.86%    582
    Ezreal       50.82%  11083
    Tristana     50.79%   6157
    Draven       50.74%   2424
    Senna        50.72%   5964
    Kassadin     50.72%   1043
    Nautilus     50.63%   6350
    Samira       50.54%   3607
    Cassiopeia   50.45%   1122
    Bard         50.37%   1610
    Vladimir     50.34%   2358
    Lissandra    50.33%   1844
    Nunu         50.28%   1804
    Katarina     50.24%   3613
    Zeri         50.18%   1909
    Graves       50.16%   4151
    Taliyah      50.14%   1410
    Gwen         49.93%   1506
    Ambessa      49.93%    683
    Camille      49.91%    537
    TwistedFate  49.68%   3271
    Akshan       49.64%   1245
    Olaf         49.49%    390
    Fiora        49.43%    437
    Zed          49.43%   6636
    Renata       49.38%    804
    LeeSin       49.37%   7561
    Varus        49.31%   4575
    Yuumi        49.17%   3787
    Corki        49.10%   1603
    Hecarim      48.95%   1659
    Jayce        48.75%   1001
    Kindred      48.74%   1867
    Riven        48.63%    549
    Gnar         48.62%    399
    Azir         48.51%   1750
    Yunara       48.43%   1852
    Belveth      48.31%   1004
    Nidalee      47.33%   1893
    Rengar       46.98%   1175
    Skarner      46.59%    807


# Yunara
                  win%   matches
    Janna        51.16%    950
    Sona         50.70%    998
    Akshan       50.56%    712
    Kennen       50.52%    776
    Mordekaiser  50.44%   3051
    Briar        50.20%   1753
    Ivern        50.12%    419
    Veigar       49.91%   2194
    Milio        49.91%   2645
    Warwick      49.84%   3425
    Braum        49.80%   2219
    Quinn        49.79%    946
    Renata       49.70%    503
    Anivia       49.65%    711
    Amumu        49.63%   1475
    MonkeyKing   49.52%   1664
    Trundle      49.48%   3680
    DrMundo      49.22%   2700
    Akali        49.18%   2755
    Elise        49.15%    765
    Bard         49.12%   1028
    Urgot        49.00%   1053
    Kled         48.89%    720
    Vladimir     48.75%   1678
    Rell         48.71%   1121
    Lulu         48.70%   4064
    Nami         48.68%   2845
    Vayne        48.68%    834
    Soraka       48.58%   1515
    Naafiri      48.57%   1326
    Chogath      48.51%   1876
    Illaoi       48.50%   1068
    Velkoz       48.46%   1236
    Yorick       48.43%   1852
    Diana        48.32%   3427
    Vex          48.21%   1230
    Nasus        48.19%   1901
    Teemo        48.09%   2782
    Renekton     48.07%   2043
    Galio        47.78%   2009
    AurelionSol  47.76%    848
    MasterYi     47.71%   2888
    Shaco        47.71%   2813
    Zoe          47.69%   1105
    Leona        47.67%   2039
    Talon        47.64%   1251
    TahmKench    47.62%   1510
    Volibear     47.58%   3140
    Malphite     47.56%   3160
    JarvanIV     47.56%   2296
    Malzahar     47.56%   2702
    Rakan        47.54%   1018
    Draven       47.50%    120
    Xerath       47.48%   2317
    Shyvana      47.47%    691
    Taric        47.42%    407
    Fizz         47.38%   1697
    Ekko         47.36%   2629
    Shen         47.34%   1599
    Thresh       47.27%   3171
    Maokai       47.25%    855
    Swain        47.24%   1721
    Poppy        47.23%   1427
    Rammus       47.22%    737
    Viego        47.22%   3755
    Seraphine    47.21%   1612
    Evelynn      47.19%    943
    Kayn         47.18%   3135
    XinZhao      47.15%   2015
    Sett         47.06%   3230
    Jax          47.05%   3182
    Lillia       46.93%   1206
    Azir         46.84%   1236
    Sylas        46.75%   3718
    Yunara       46.73%  66785
    Zac          46.64%   1278
    Gnar         46.62%    800
    Annie        46.62%   1081
    Kayle        46.61%   1491
    Leblanc      46.60%   1777
    Zilean       46.51%    774
    TwistedFate  46.50%   1585
    Ahri         46.47%   2780
    Irelia       46.46%   2191
    Syndra       46.45%   1367
    Nocturne     46.44%   2825
    Pyke         46.44%   2108
    Zyra         46.38%   1421
    Garen        46.32%   2308
    Blitzcrank   46.28%   1843
    Ashe         46.27%    711
    Yuumi        46.25%   2242
    Belveth      46.24%    638
    Khazix       46.20%   1959
    Yasuo        46.18%   4088
    Ryze         46.15%   1209
    Aatrox       46.15%   2715
    Alistar      46.12%   1481
    Gwen         46.12%   1442
    Lux          46.08%   5108
    Katarina     46.06%   1663
    Pantheon     46.06%   4466
    Hwei         46.00%   1476
    Ornn         45.99%   1096
    Morgana      45.96%   2883
    Lissandra    45.93%    947
    Aurora       45.91%   1725
    Tryndamere   45.91%   1148
    Fiora        45.83%   1296
    Kindred      45.80%    987
    Darius       45.79%   2850
    Karma        45.78%   2121
    RekSai       45.76%    330
    Udyr         45.75%    848
    Singed       45.75%    682
    Nunu         45.72%    877
    Gangplank    45.68%   1066
    Orianna      45.68%   1528
    Viktor       45.66%   1868
    Kassadin     45.64%    574
    Camille      45.64%    769
    Sion         45.63%   1808
    Nautilus     45.63%   2869
    Ambessa      45.60%   1294
    Ziggs        45.50%    822
    Olaf         45.44%    581
    Neeko        45.30%   1181
    Jayce        45.16%   1344
    Qiyana       45.14%    771
    Heimerdinger 45.08%    914
    Hecarim      45.08%    985
    KSante       44.68%   1099
    LeeSin       44.63%   3798
    Rumble       44.62%    641
    Graves       44.40%   1838
    Riven        44.31%   1090
    Mel          44.26%   3317
    Gragas       44.08%   1200
    Zed          43.95%   4241
    Twitch       43.95%    512
    Fiddlesticks 43.88%   1103
    Samira       43.88%    196
    Senna        43.76%   1634
    Yone         43.65%   3560
    Cassiopeia   43.60%    500
    Nilah        43.59%     78
    Vi           43.53%   1622
    Karthus      43.42%    555
    Sejuani      43.27%    929
    Brand        43.21%   1583
    Nidalee      42.82%   1163
    Rengar       42.65%    837
    Taliyah      42.63%    678
    Sivir        42.31%    286
    Smolder      42.21%   1123
    Varus        41.71%    549
    Tristana     41.28%    499
    KogMaw       41.07%    112
    Caitlyn      40.38%    733
    Corki        40.28%    283
    Jhin         39.88%    652
    Skarner      39.76%    327
    Kaisa        39.53%    635
    MissFortune  38.41%    690
    Zeri         38.14%    118
    Lucian       38.12%    383
    Jinx         38.03%    476
    Aphelios     37.98%    208
    Kalista      37.70%     61
    Ezreal       37.63%    590
    Xayah        32.81%    128


# Yuumi
                  win%   matches
    Nilah        55.06%   3754
    Lucian       54.23%  10467
    Tristana     53.11%   7228
    Rammus       52.76%   1357
    Anivia       52.66%   1276
    Zeri         52.53%  11124
    Sivir        52.49%   6774
    Kennen       52.43%   1459
    Vayne        51.95%   7095
    Amumu        51.83%   2738
    Nocturne     51.69%   5225
    Twitch       51.42%   6814
    Kayle        51.25%   2718
    Velkoz       51.15%    782
    RekSai       51.12%    536
    Chogath      51.00%   3106
    Sejuani      50.90%   1782
    Galio        50.89%   3321
    Shen         50.85%   2708
    Malphite     50.83%   4501
    Cassiopeia   50.82%   1224
    Naafiri      50.62%   2922
    Riven        50.59%   2194
    Swain        50.56%   1529
    Lissandra    50.55%   1721
    Fizz         50.55%   2633
    Zilean       50.48%    210
    Xerath       50.47%   2457
    Malzahar     50.44%   4334
    Ekko         50.42%   4603
    Ornn         50.38%   1983
    MonkeyKing   50.23%   2980
    Singed       50.00%   1370
    Zoe          50.00%   1702
    Quinn        49.93%   1368
    Olaf         49.83%   1176
    Jax          49.78%   4755
    Zac          49.74%   2328
    Aurora       49.74%   2461
    Leblanc      49.72%   3270
    Qiyana       49.70%   1161
    Sett         49.68%   5374
    Kayn         49.64%   5914
    Belveth      49.64%   1106
    Sion         49.60%   3014
    Gwen         49.59%   3077
    Urgot        49.51%   1828
    Gangplank    49.46%   2125
    Diana        49.45%   6232
    Mordekaiser  49.41%   5046
    Syndra       49.39%   2539
    Annie        49.39%   1545
    Hecarim      49.31%   2535
    Gnar         49.28%   1737
    Ryze         49.25%   2059
    Katarina     49.23%   3845
    MasterYi     49.22%   5211
    Viego        49.17%   6996
    Yorick       49.17%   3787
    Akshan       49.16%   1304
    Renekton     49.12%   3634
    Fiddlesticks 49.10%   1605
    Volibear     48.94%   4800
    Illaoi       48.91%   1981
    JarvanIV     48.76%   3214
    Teemo        48.75%   4195
    Ahri         48.66%   6174
    XinZhao      48.65%   3675
    Irelia       48.64%   4258
    Vex          48.62%   2254
    Viktor       48.61%   4213
    Vladimir     48.59%   3379
    TwistedFate  48.54%   3092
    Evelynn      48.54%   1574
    Orianna      48.53%   2555
    Talon        48.48%   2931
    Briar        48.42%   2652
    Lillia       48.40%   2744
    Yuumi        48.39%  121684
    Yasuo        48.37%   8640
    Gragas       48.37%   2665
    Trundle      48.34%   3945
    Nunu         48.32%   1817
    Poppy        48.32%   1248
    Veigar       48.32%   3268
    Fiora        48.31%   2132
    Warwick      48.30%   5623
    DrMundo      48.20%   4137
    Karthus      48.11%   1083
    AurelionSol  48.09%   1599
    Vi           48.08%   3548
    Xayah        48.05%   1792
    Graves       47.95%   4332
    Tryndamere   47.82%   2177
    Garen        47.81%   4802
    Akali        47.78%   5391
    Heimerdinger 47.73%   1456
    Shyvana      47.62%   1342
    Zed          47.60%   6981
    Neeko        47.57%    639
    Camille      47.44%   1541
    Taliyah      47.43%   1322
    KogMaw       47.41%   1255
    Pantheon     47.36%   4533
    Elise        47.32%   1289
    Hwei         47.28%   2608
    Maokai       47.27%    861
    Lux          47.26%   3140
    Nasus        47.26%   3392
    Kaisa        47.20%   6762
    Kled         47.14%    857
    Darius       47.11%   5753
    Jayce        47.08%   3235
    Kassadin     46.99%   1113
    Corki        46.90%   1243
    Shaco        46.88%   3754
    Brand        46.85%   1253
    KSante       46.81%   2228
    Khazix       46.81%   3638
    LeeSin       46.60%   8673
    Aatrox       46.49%   5619
    Sylas        46.48%   7731
    Aphelios     46.29%   2411
    Yunara       46.25%   2242
    Jinx         46.15%   7412
    Karma        46.08%    497
    TahmKench    46.04%   1110
    Ziggs        46.00%   1063
    Yone         45.98%   8261
    Smolder      45.76%   5824
    Udyr         45.51%   1580
    Ambessa      45.48%   2414
    Samira       45.48%   1649
    Rumble       45.38%   1386
    Mel          45.29%   3612
    Zyra         45.10%    683
    Nidalee      45.07%   1895
    Morgana      45.05%    757
    Ivern        44.94%    534
    MissFortune  44.86%   4703
    Azir         44.78%   1704
    Draven       44.68%   1853
    Kindred      44.09%   1733
    Rengar       43.26%   1373
    Skarner      43.18%    850
    Ezreal       43.16%  12347
    Jhin         42.92%   6077
    Caitlyn      42.69%   5955
    Kalista      42.48%    492
    Varus        42.39%   2482
    Seraphine    42.29%    227
    Senna        40.62%   1061
    Ashe         40.46%   3379
    Lulu         37.14%    175
    Nautilus     33.71%    178
    Taric        33.33%     51
    Rakan        31.91%     47
    Thresh       30.51%    118
    Braum        28.57%     42
    Pyke         26.45%    121
    Janna        26.09%     46
    Rell         25.58%     43
    Alistar      24.18%     91
    Renata       22.22%     18
    Soraka       20.69%     87
    Blitzcrank   20.59%    102
    Leona        16.90%     71
    Nami         13.56%     59
    Sona         13.33%     45
    Milio        10.87%     46
    Bard         07.94%     63


# Zac
                  win%   matches
    Kled         56.34%    568
    Nocturne     54.78%   1245
    Taric        54.53%    453
    Fiddlesticks 54.31%    823
    Taliyah      53.59%    864
    Karthus      52.80%    411
    Sett         52.47%   3295
    Quinn        52.31%   1019
    Mordekaiser  52.24%   2584
    Nilah        52.09%    839
    Warwick      52.07%   1742
    JarvanIV     52.06%    849
    Annie        52.02%   1163
    Kayle        52.00%   1623
    Renata       51.99%    502
    Sona         51.90%    946
    Khazix       51.80%    890
    Graves       51.77%   1184
    Hecarim      51.77%    423
    Garen        51.70%   2681
    Teemo        51.69%   2757
    Nami         51.68%   3206
    Pantheon     51.58%   3300
    Viego        51.53%   1900
    Sivir        51.51%   2588
    Vayne        51.51%   3685
    Jax          51.50%   2501
    MasterYi     51.48%   1078
    KogMaw       51.45%    964
    Yorick       51.38%   1997
    MonkeyKing   51.38%   1053
    Lissandra    51.34%   1079
    Vex          51.31%   1647
    Qiyana       51.26%    833
    Vi           51.25%    921
    Rammus       51.25%    361
    Swain        51.25%   2207
    Poppy        51.20%   1459
    Samira       51.17%   2572
    Gangplank    51.11%   1485
    Zyra         51.08%   1942
    Kindred      51.06%    472
    Lillia       51.01%    694
    Diana        50.97%   2370
    Soraka       50.97%   1650
    Nasus        50.85%   1813
    MissFortune  50.79%   6045
    Gragas       50.77%   1363
    RekSai       50.76%    197
    Jinx         50.74%   6939
    Senna        50.73%   3850
    Lulu         50.73%   4197
    Anivia       50.72%    976
    Milio        50.69%   1965
    Thresh       50.66%   4169
    Leona        50.63%   2532
    Brand        50.62%   2090
    Amumu        50.60%    672
    Veigar       50.59%   2465
    Zilean       50.55%    906
    Fiora        50.53%   1328
    Naafiri      50.52%   1152
    AurelionSol  50.51%   1075
    DrMundo      50.51%   1861
    Briar        50.49%    713
    Ekko         50.46%   1851
    Olaf         50.45%    660
    Malzahar     50.44%   2748
    Trundle      50.42%   1549
    Zeri         50.40%   1516
    Galio        50.38%   2092
    Ryze         50.22%   1384
    Blitzcrank   50.21%   2356
    Jhin         50.10%   7701
    Viktor       50.05%   2805
    Tristana     50.03%   3416
    Kaisa        49.97%   7389
    Morgana      49.97%   2922
    Kayn         49.96%   1245
    TahmKench    49.94%   1610
    Bard         49.91%   1114
    Braum        49.87%   1965
    Ornn         49.85%    993
    Rell         49.82%   1377
    Shaco        49.80%   1793
    Belveth      49.80%    249
    Udyr         49.79%    472
    Aphelios     49.78%   2061
    Riven        49.76%   1431
    Aatrox       49.75%   3335
    Yuumi        49.74%   2328
    Yasuo        49.73%   7814
    Zac          49.69%  86272
    Maokai       49.67%   1228
    Volibear     49.65%   1873
    Irelia       49.62%   2757
    Ahri         49.51%   3908
    Heimerdinger 49.51%   1020
    Smolder      49.46%   4090
    Kennen       49.45%    993
    Chogath      49.42%   1550
    XinZhao      49.40%   1006
    Pyke         49.40%   2680
    Sejuani      49.39%    407
    Sylas        49.37%   5199
    Camille      49.28%   1181
    Illaoi       49.28%   1177
    Vladimir     49.27%   1920
    Twitch       49.27%   1837
    Xayah        49.26%   2030
    Xerath       49.26%   3648
    Talon        49.15%   1538
    LeeSin       49.09%   2469
    Lucian       49.05%   4840
    Darius       49.02%   3211
    Hwei         48.99%   2186
    Ivern        48.98%    196
    Kassadin     48.94%    611
    Nunu         48.90%    454
    Karma        48.81%   2985
    Malphite     48.77%   2651
    Lux          48.71%   6810
    TwistedFate  48.70%   2191
    Caitlyn      48.70%   7723
    Janna        48.64%   1026
    Renekton     48.62%   2141
    Aurora       48.57%   1711
    Ashe         48.56%   4975
    Skarner      48.55%    241
    Draven       48.52%   1591
    Tryndamere   48.49%   1258
    Rumble       48.47%    784
    Akshan       48.44%    962
    Nidalee      48.44%    737
    Singed       48.44%    640
    Fizz         48.43%   1652
    Katarina     48.38%   2220
    Yone         48.34%   5958
    Leblanc      48.33%   2489
    Sion         48.27%   1587
    Evelynn      48.22%    338
    Seraphine    48.20%   2114
    Syndra       48.14%   1720
    Cassiopeia   48.11%    848
    Zed          47.95%   4002
    Shyvana      47.95%    317
    Gnar         47.94%   1189
    Alistar      47.93%   1594
    Velkoz       47.93%   1615
    Akali        47.92%   3658
    Rakan        47.91%   1482
    Shen         47.83%   1754
    Varus        47.80%   3092
    Elise        47.78%    835
    Urgot        47.78%   1036
    Nautilus     47.76%   3300
    Ziggs        47.56%   1106
    Jayce        47.53%   2310
    Ambessa      47.51%   1564
    Azir         47.47%   1207
    Neeko        47.41%   1527
    Zoe          47.20%   1320
    Orianna      47.12%   2135
    Rengar       47.10%    397
    Gwen         47.10%   1397
    Corki        46.96%   1367
    Mel          46.88%   3332
    Ezreal       46.66%   7617
    Yunara       46.64%   1278
    KSante       45.68%   1274
    Kalista      45.02%    713


# Zed
                  win%   matches
    Fiddlesticks 51.60%   4576
    Mordekaiser  51.40%  13874
    Karthus      50.93%   2790
    Lillia       50.87%   6520
    Akshan       50.87%    865
    Nami         50.85%   8599
    Teemo        50.64%  10737
    Nilah        50.54%   2297
    Taliyah      50.51%   1776
    Elise        50.49%   4411
    Warwick      50.36%   8510
    Heimerdinger 50.34%   3409
    Sivir        50.32%   6882
    Briar        50.27%   3318
    KogMaw       50.25%   2579
    Velkoz       50.20%   4849
    Kassadin     50.00%    800
    DrMundo      49.98%   7581
    Kayle        49.87%   5576
    Janna        49.86%   2804
    Chogath      49.79%   6549
    Morgana      49.74%  10363
    Urgot        49.74%   3215
    Kennen       49.72%   3445
    Milio        49.72%   5306
    Sett         49.67%  10987
    Shyvana      49.62%   2374
    Lulu         49.61%  10652
    Swain        49.54%   7495
    Quinn        49.51%   2351
    Volibear     49.45%   8890
    Yorick       49.43%   6636
    Braum        49.42%   6016
    Vayne        49.37%  10247
    Malzahar     49.28%   4229
    Trundle      49.27%   6010
    Nocturne     49.26%   6620
    Cassiopeia   49.20%   1498
    Rammus       49.19%   2226
    Sona         49.18%   2749
    Ryze         49.17%   2780
    Soraka       49.17%   4586
    Taric        49.14%   1396
    Zyra         49.12%   6572
    Nasus        49.11%   6719
    Amumu        49.09%   5144
    Ekko         49.07%   8151
    Diana        49.06%   9884
    TahmKench    49.04%   5706
    Annie        48.95%   2086
    Poppy        48.93%   4866
    Brand        48.91%   7679
    Vladimir     48.88%   5098
    Rakan        48.84%   3909
    Jinx         48.80%  20099
    Karma        48.80%   8522
    Kindred      48.77%   2270
    Leona        48.72%   8196
    Anivia       48.71%   1548
    Xerath       48.67%   9022
    Gwen         48.66%   7598
    Viego        48.65%   8160
    Sylas        48.61%  10610
    MissFortune  48.58%  17047
    Singed       48.56%   2669
    Malphite     48.52%  10143
    Bard         48.49%   3048
    Leblanc      48.43%   3704
    Evelynn      48.37%   3035
    Naafiri      48.36%   3164
    Hecarim      48.30%   2296
    Smolder      48.29%  11594
    Sion         48.28%   5271
    Ornn         48.20%   3664
    Lissandra    48.19%   1712
    Garen        48.12%   8636
    Galio        48.11%   3868
    Xayah        48.09%   5843
    Zeri         48.03%   3585
    Seraphine    48.03%   6025
    JarvanIV     48.00%   4446
    MonkeyKing   47.99%   4030
    Maokai       47.99%   3747
    Lux          47.98%  19873
    Pantheon     47.98%   9992
    Nunu         47.97%   2879
    Zed          47.97%  250328
    Zac          47.95%   4002
    Viktor       47.89%   4049
    Rell         47.88%   4018
    Veigar       47.87%   4573
    Senna        47.83%  10192
    Twitch       47.79%   5480
    Udyr         47.77%   2403
    Shen         47.77%   6065
    Zilean       47.75%   2561
    Ziggs        47.75%   4008
    Jhin         47.71%  22458
    Sejuani      47.70%   2765
    Aphelios     47.61%   5470
    Yuumi        47.60%   6981
    Gangplank    47.59%   3530
    Neeko        47.58%   4313
    Ashe         47.47%  12891
    Graves       47.39%   6050
    Gnar         47.38%   3335
    Thresh       47.34%  13378
    Caitlyn      47.32%  23363
    Samira       47.30%   6083
    Ahri         47.22%   4462
    Nidalee      47.22%   4795
    Hwei         47.17%   3477
    Irelia       47.17%   5063
    AurelionSol  47.15%   1561
    Shaco        47.14%   8716
    Renata       47.13%   1326
    Akali        47.08%   5792
    Blitzcrank   47.08%   7160
    Kaisa        47.06%  21949
    Lucian       47.04%  13239
    Gragas       47.03%   6138
    Tristana     47.00%   9282
    XinZhao      47.00%   4198
    Vex          46.99%   1813
    Illaoi       46.95%   4013
    Olaf         46.94%   1862
    Jax          46.93%   8618
    Tryndamere   46.90%   3934
    TwistedFate  46.89%   3570
    Qiyana       46.77%    913
    Kayn         46.75%   7739
    Kled         46.74%   1397
    Renekton     46.70%   6463
    Aurora       46.69%   2988
    Aatrox       46.66%  10219
    Fizz         46.66%   2302
    Varus        46.64%   9001
    Nautilus     46.46%  11141
    MasterYi     46.41%   7115
    Syndra       46.40%   2183
    Fiora        46.39%   3693
    Mel          46.27%   8999
    Zoe          46.25%   2251
    Alistar      46.17%   4962
    Ezreal       46.17%  21437
    Ivern        46.11%   1015
    Belveth      46.08%   1213
    Darius       46.08%  10942
    Riven        46.01%   3814
    Vi           45.87%   4199
    Draven       45.86%   4276
    Khazix       45.83%   4835
    Rumble       45.72%   3887
    Corki        45.64%   2511
    Azir         45.61%   1469
    LeeSin       45.55%  11920
    Katarina     45.19%   2589
    Pyke         45.16%   7453
    Talon        45.11%   2239
    Yasuo        45.03%   8267
    Camille      44.98%   3079
    KSante       44.87%   3896
    Ambessa      44.87%   4032
    Kalista      44.86%   1926
    Orianna      44.64%   2099
    Yone         44.64%   9078
    Jayce        44.59%   5333
    Yunara       43.95%   4241
    Rengar       43.60%   1913
    RekSai       42.26%    620
    Skarner      40.84%   1244


# Zeri
                  win%   matches
    Nilah        56.52%     23
    Cassiopeia   53.12%    642
    Kennen       52.92%    907
    Sona         52.89%    953
    Akshan       52.85%    685
    Belveth      52.68%    634
    Yuumi        52.53%  11124
    Velkoz       52.50%   1122
    Malzahar     52.31%   2355
    Urgot        52.15%   1022
    Rammus       52.12%    731
    Warwick      52.12%   2930
    RekSai       52.09%    359
    Soraka       51.93%   1454
    Amumu        51.83%   1671
    Zoe          51.60%   1062
    Elise        51.58%   1045
    Heimerdinger 51.48%    845
    Darius       51.43%   3136
    JarvanIV     51.38%   2098
    TwistedFate  51.35%   1961
    Braum        51.34%   1455
    Nocturne     51.29%   2913
    Leblanc      51.28%   2028
    Rakan        51.20%   1291
    Anivia       51.19%    797
    Nasus        51.06%   1839
    Maokai       51.06%   1040
    Lissandra    51.06%    993
    Galio        50.92%   2113
    Fizz         50.92%   1359
    Gnar         50.89%   1012
    Kayn         50.87%   2937
    Chogath      50.79%   1654
    Illaoi       50.77%   1170
    Ekko         50.71%   2660
    Singed       50.71%    702
    Sett         50.70%   3205
    Brand        50.70%   1714
    Leona        50.68%   1758
    Rell         50.63%   1027
    Kayle        50.57%   1499
    Ivern        50.54%    467
    Vex          50.45%   1324
    Zac          50.40%   1516
    Hwei         50.37%   1769
    Volibear     50.35%   2862
    Annie        50.25%    993
    Zilean       50.23%    868
    Teemo        50.22%   2521
    Yorick       50.18%   1909
    Malphite     50.11%   2754
    TahmKench    50.04%   1405
    Irelia       49.95%   2188
    Gwen         49.91%   1649
    Viego        49.90%   4086
    Poppy        49.86%   1430
    Trundle      49.82%   2216
    Diana        49.81%   3401
    Briar        49.80%   1490
    Sion         49.75%   1823
    Gangplank    49.72%   1269
    MonkeyKing   49.71%   1704
    Jax          49.68%   2842
    Shen         49.67%   1818
    Neeko        49.66%   1019
    Evelynn      49.64%    832
    Nami         49.63%   2009
    Tryndamere   49.58%   1200
    Kassadin     49.58%    595
    XinZhao      49.56%   2034
    Hecarim      49.52%   1155
    Ahri         49.44%   3400
    Morgana      49.44%   2138
    Lulu         49.43%   8151
    Zeri         49.29%  68944
    DrMundo      49.29%   2319
    Renata       49.22%    386
    Pantheon     49.21%   3424
    Nautilus     49.19%   2283
    Taric        49.18%    366
    Naafiri      49.17%   1568
    Aatrox       49.15%   3227
    Renekton     49.13%   2125
    Thresh       49.13%   2807
    Akali        49.08%   3105
    Qiyana       49.08%    703
    Bard         49.03%    875
    Alistar      48.97%   1313
    Fiddlesticks 48.93%   1173
    Seraphine    48.93%   1398
    Shaco        48.92%   2627
    Mordekaiser  48.91%   2895
    Khazix       48.83%   2015
    Fiora        48.80%   1248
    Viktor       48.80%   2246
    Swain        48.79%   1572
    AurelionSol  48.78%    941
    MasterYi     48.75%   2435
    Taliyah      48.71%    930
    Syndra       48.61%   1479
    Nunu         48.59%    992
    Lillia       48.56%   1662
    Katarina     48.55%   1831
    Milio        48.54%   1570
    Janna        48.48%    990
    Ryze         48.40%   1190
    Xerath       48.40%   2277
    Kled         48.39%    465
    Graves       48.35%   2333
    Veigar       48.35%   1814
    Kindred      48.33%    989
    Nidalee      48.30%   1410
    Sylas        48.27%   4545
    Gragas       48.18%   1592
    Ornn         48.15%   1213
    Karma        48.13%   2142
    Zed          48.03%   3585
    Lux          47.95%   4169
    Jayce        47.88%   1863
    Garen        47.87%   2670
    Yasuo        47.84%   4143
    Yone         47.80%   4377
    Zyra         47.76%   1382
    Skarner      47.67%    558
    Ambessa      47.66%   1387
    Talon        47.64%   1610
    Vayne        47.57%    740
    Vladimir     47.51%   1785
    Rumble       47.50%    899
    Shyvana      47.45%    803
    Senna        47.29%   1404
    Sejuani      47.26%   1075
    Mel          47.20%   2521
    Camille      47.11%   1125
    LeeSin       47.11%   5502
    Aurora       47.07%   1451
    Vi           46.98%   2050
    Quinn        46.82%    754
    Rengar       46.72%    809
    Orianna      46.61%   1654
    Blitzcrank   46.56%   1630
    Pyke         46.55%   1637
    Karthus      46.48%    697
    Riven        46.48%   1207
    Draven       46.40%    125
    Tristana     46.23%    491
    KSante       46.08%   1389
    MissFortune  45.43%    416
    Azir         45.34%    997
    Jinx         45.33%    214
    Ziggs        45.27%    528
    Udyr         45.02%    944
    Corki        44.71%    331
    Olaf         44.48%    580
    Aphelios     44.44%     72
    Varus        44.42%    502
    Ashe         43.75%    544
    Twitch       43.52%    301
    Ezreal       43.19%    558
    Caitlyn      42.70%    459
    KogMaw       42.57%    101
    Jhin         42.18%    403
    Smolder      42.08%    953
    Kaisa        41.88%    425
    Kalista      41.67%     72
    Lucian       38.54%    288
    Samira       38.37%     86
    Xayah        38.18%     55
    Yunara       38.14%    118
    Sivir        35.00%    100


# Ziggs
                  win%   matches
    Taric        58.54%    287
    Warwick      54.03%   3422
    Briar        54.00%   1661
    TahmKench    53.81%   1758
    Nasus        53.81%   2401
    Ryze         53.73%    590
    Yorick       53.49%   2219
    Kled         53.48%    546
    Naafiri      53.32%   1748
    Morgana      53.28%   2453
    Fizz         53.27%    888
    Sett         53.02%   3661
    Trundle      52.99%   2423
    Lissandra    52.97%    438
    Rell         52.81%    960
    DrMundo      52.75%   2197
    Vladimir     52.73%    844
    Leona        52.56%   1996
    Amumu        52.47%   1700
    Urgot        52.40%   1084
    Tryndamere   52.31%   1577
    Sona         52.30%    740
    Akshan       52.26%    930
    Kayle        52.23%   1120
    Zyra         52.17%   1495
    Chogath      52.12%   1813
    Viktor       52.01%   1096
    Sivir        51.99%    956
    Azir         51.98%    404
    Khazix       51.96%   2367
    Quinn        51.90%    921
    Rammus       51.85%    837
    Soraka       51.80%    971
    Irelia       51.70%   2296
    Aurora       51.65%    788
    Malzahar     51.63%   1321
    Kayn         51.52%   3455
    MonkeyKing   51.47%   1968
    Nilah        51.44%    313
    Nautilus     51.40%   2430
    Milio        51.36%    880
    Nocturne     51.35%   3254
    Janna        51.35%    631
    Belveth      51.34%    559
    MasterYi     51.33%   3394
    Nami         51.30%   1698
    Vi           51.29%   2166
    Zilean       51.23%    652
    Leblanc      51.22%   1066
    Teemo        51.19%   2850
    Viego        51.18%   3939
    Riven        51.14%   1226
    Bard         51.08%    922
    Kindred      51.05%   1332
    Heimerdinger 50.97%    826
    AurelionSol  50.91%    497
    Brand        50.85%   1886
    Braum        50.82%    919
    Vayne        50.76%   1970
    Hwei         50.63%    867
    Diana        50.63%   2230
    Camille      50.59%   1014
    Rakan        50.58%    864
    Volibear     50.51%   2657
    Illaoi       50.46%   1405
    Garen        50.45%   3308
    Fiora        50.45%   1122
    Galio        50.42%   1317
    Poppy        50.42%   1444
    Vex          50.42%    722
    Kassadin     50.40%    252
    Malphite     50.35%   3007
    JarvanIV     50.26%   2348
    Darius       50.24%   3754
    Yasuo        50.19%   5352
    Syndra       50.14%    694
    Lillia       50.10%   1042
    Jhin         50.08%   3572
    Corki        50.07%    711
    Thresh       50.06%   2653
    Katarina     50.05%    915
    XinZhao      50.05%   2000
    Lux          50.00%   5052
    Ziggs        49.95%  68870
    Talon        49.93%   1480
    Draven       49.92%    659
    Shaco        49.92%   3027
    Pantheon     49.91%   3801
    Seraphine    49.88%   1618
    Jayce        49.81%   2056
    Jinx         49.79%   2894
    Renekton     49.77%   2168
    KogMaw       49.75%    402
    Gangplank    49.74%   1160
    Zoe          49.73%    563
    Shyvana      49.73%    728
    Velkoz       49.71%   1205
    Karma        49.71%   1718
    Ambessa      49.70%   1326
    Pyke         49.67%   1951
    Smolder      49.66%   2966
